People,Population,Food Availible(Kg),Width(m),Length(m),Months,Survival %,Id
Slavs,242.0,23.2,25.4,30.0,4.02,11.52,0
Slavs,340.0,23.9,26.5,31.1,4.6961,12.3778,2
Slavs,430.0,26.5,29.0,34.0,5.1339999999999995,12.444,4
Slavs,450.0,26.8,29.7,34.7,4.9274,13.6024,5
Slavs,500.0,26.8,29.7,34.5,5.2785,14.1795,6
Slavs,390.0,27.6,30.0,35.0,4.69,12.67,7
Slavs,500.0,28.5,30.7,36.2,4.9594,14.2266,9
Slavs,475.0,28.4,31.0,36.2,5.1042,14.2628,10
Slavs,500.0,29.1,31.5,36.4,4.368,13.7592,12
Slavs,340.0,29.5,32.0,37.3,5.0728,13.9129,13
Slavs,600.0,29.4,32.0,37.2,5.1708,14.9544,14
Slavs,610.0,30.9,33.5,38.6,5.1338,15.633,18
Slavs,650.0,31.0,33.5,38.7,5.7276,14.4738,19
Slavs,575.0,31.3,34.0,39.5,5.5695,15.1285,20
Slavs,620.0,31.5,34.5,39.7,5.2801,15.5227,22
Slavs,680.0,31.8,35.0,40.6,6.1306,15.4686,23
Slavs,725.0,31.8,35.0,40.9,6.0532,16.36,25
Slavs,720.0,32.0,35.0,40.6,6.09,16.3618,26
Slavs,714.0,32.7,36.0,41.5,5.8515,16.517,27
Slavs,850.0,32.8,36.0,41.6,6.1984,16.8896,28
Slavs,1000.0,33.5,37.0,42.6,6.603,18.957,29
Slavs,920.0,35.0,38.5,44.1,6.3063,18.0369,30
Slavs,955.0,35.0,38.5,44.0,6.292000000000001,18.084,31
Slavs,925.0,36.2,39.5,45.3,6.7497,18.7542,32
Slavs,950.0,38.0,41.0,46.5,6.3705,17.6235,34
Poles,40.0,12.9,14.1,16.2,2.2680000000000002,4.1472,35
Poles,69.0,16.5,18.2,20.3,2.8217,5.2983,36
Poles,78.0,17.5,18.8,21.2,2.9044,5.5756,37
Poles,120.0,18.6,20.0,22.2,3.5742,6.216,39
Poles,0.0,19.0,20.5,22.8,3.3516,6.4752,40
Poles,110.0,19.1,20.8,23.1,3.3957,6.1677,41
Poles,150.0,20.4,22.0,24.7,3.7544,5.8045,43
Poles,145.0,20.5,22.0,24.3,3.5478,6.6339,44
Poles,160.0,20.5,22.5,25.3,3.8203,7.0334,45
Poles,140.0,21.0,22.5,25.0,3.325,6.55,46
Poles,161.0,22.0,23.4,26.7,3.6312,6.9153,49
Poles,200.0,22.1,23.5,26.8,4.1272,7.3968,50
Poles,180.0,23.6,25.2,27.9,3.906,7.0866,51
Poles,290.0,24.0,26.0,29.2,4.4968,8.8768,52
Poles,272.0,25.0,27.0,30.6,4.7736,8.568,53
Poles,390.0,29.5,31.7,35.0,5.355,9.485,54
POWs,270.0,23.6,26.0,28.7,4.2476,8.3804,55
POWs,270.0,24.1,26.5,29.3,4.2485,8.1454,56
POWs,306.0,25.6,28.0,30.8,4.6816,8.777999999999999,57
POWs,540.0,28.5,31.0,34.0,6.562,10.744000000000002,58
POWs,1000.0,37.3,40.0,43.5,6.525,12.354000000000001,60
Parkki,60.0,14.3,15.5,17.4,2.3142,6.5772,62
Parkki,90.0,16.3,17.7,19.8,2.673,7.4052,63
Parkki,120.0,17.5,19.0,21.3,2.9181,8.3922,64
Parkki,150.0,18.4,20.0,22.4,3.2928,8.8928,65
Parkki,140.0,19.0,20.7,23.2,3.2944,8.5376,66
Parkki,170.0,19.0,20.7,23.2,3.4104,9.396,67
Parkki,145.0,19.8,21.5,24.1,3.1571,9.7364,68
Parkki,273.0,23.0,25.0,28.0,4.144,11.088,70
Parkki,300.0,24.0,26.0,29.0,4.234,11.368,71
Jews,5.9,7.5,8.4,8.8,1.4080000000000001,2.112,72
Jews,32.0,12.5,13.7,14.7,1.9992,3.528,73
Jews,40.0,13.8,15.0,16.0,2.432,3.824,74
Jews,51.5,15.0,16.2,17.2,2.6316,4.5924,75
Jews,70.0,15.7,17.4,18.5,2.9415,4.588,76
